emp_no,first_name,last_name,title
10001,Georgi,Facello,Senior Engineer
10004,Chirstian,Koblick,Engineer
10005,Kyoichi,Maliniak,Senior Staff
10006,Anneke,Preusig,Senior Engineer
10009,Sumant,Peac,Assistant Engineer
10011,Mary,Sluis,Staff
10018,Kazuhide,Peha,Engineer
10019,Lillian,Haddadi,Staff
10020,Mayuko,Warwick,Engineer
10022,Shahaf,Famili,Engineer
10023,Bojan,Montemayor,Engineer
10026,Yongqiao,Berztiss,Engineer
10035,Alain,Chappelet,Engineer
10047,Zvonko,Nyanchama,Engineer
10051,Hidefumi,Caine,Engineer
10053,Sanjiv,Zschoche,Senior Staff
10057,Ebbe,Callaway,Engineer
10058,Berhard,McFarlin,Senior Staff
10059,Alejandro,McAlpine,Senior Staff
10063,Gino,Leonhardt,Senior Engineer
10066,Kwee,Schusler,Assistant Engineer
10067,Claudi,Stavenow,Engineer
10070,Reuven,Garigliano,Technique Leader
10072,Hironoby,Sidou,Engineer
10073,Shir,McClurg,Engineer
10074,Mokhtar,Bernatsky,Technique Leader
10076,Erez,Ritzmann,Senior Engineer
10088,Jungsoon,Syrzycki,Senior Staff
10091,Amabile,Gomatam,Engineer
10096,Jayson,Mandell,Engineer
10097,Remzi,Waschkowski,Senior Staff
10100,Hironobu,Haraldson,Senior Staff
10101,Perla,Heyers,Staff
10103,Akemi,Birch,Engineer
10106,Eben,Aingworth,Engineer
10108,Lunjin,Giveon,Staff
10116,Dayanand,Czap,Senior Engineer
10126,Kayoko,Valtorta,Senior Staff
10127,Subir,Baja,Senior Engineer
10129,Armond,Peir,Technique Leader
10130,Nishit,Casperson,Senior Engineer
10131,Magdalena,Eldridge,Engineer
10134,Diederik,Siprelle,Engineer
10138,Perry,Shimshoni,Engineer
10149,Xiadong,Perry,Staff
10150,Zhenbing,Perng,Engineer
10152,Jaques,Munro,Engineer
10153,Heekeun,Majewski,Assistant Engineer
10157,Nigel,Aloisi,Senior Engineer
10159,Serif,Buescher,Senior Engineer
10160,Debatosh,Khasidashvili,Senior Staff
10161,Hairong,Mellouli,Engineer
10163,Karsten,Szmurlo,Senior Staff
10166,Samphel,Siegrist,Engineer
10177,Pragnesh,Iisaka,Staff
10183,Mechthild,Bonifati,Staff
10186,Shigehito,Kropatsch,Staff
10189,Khalid,Erva,Engineer
10194,Josyula,Hofmeyr,Senior Staff
10196,Marc,Hellwagner,Staff
10198,Pranav,Furedi,Engineer
10203,Steen,Escriba,Senior Staff
10205,Mabhin,Leijenhorst,Senior Engineer
10207,Girolamo,Anandan,Engineer
10215,Xiaobin,Duclos,Senior Staff
10217,Yongmin,Roison,Technique Leader
10219,Genta,Kolvik,Senior Staff
10224,Leon,Trogemann,Engineer
10228,Karoline,Cesareni,Senior Staff
10229,Ulises,Takanami,Engineer
10230,Clyde,Vernadat,Senior Staff
10233,Lein,Vendrig,Senior Staff
10237,Yannis,Mandell,Senior Staff
10239,Nikolaos,Llado,Staff
10240,Remko,Maccarone,Engineer
10248,Frederique,Tempesti,Senior Staff
10249,Marie,Boreale,Engineer
10258,Basil,Ishibashi,Assistant Engineer
10262,Mahendra,Maraist,Staff
10272,Yishai,Cannane,Staff
10278,Lubomir,Nitsch,Engineer
10281,Moty,Kusakari,Engineer
10282,Hercules,Benzmuller,Assistant Engineer
10283,Kauko,Birjandi,Engineer
10284,Masali,Murrill,Engineer
10286,Saddek,Gopalakrishnan,Staff
10294,Rutger,Miara,Senior Engineer
10295,Kristine,Velardi,Senior Staff
10298,Dietrich,DuCasse,Staff
10302,Faiza,Baer,Senior Staff
10305,Hirochika,Piancastelli,Engineer
10306,Heng,Kilgour,Staff
10307,Nikolaos,Leaver,Engineer
10321,Guenter,Ravishankar,Staff
10322,Isamu,Dahlbom,Engineer
10325,Arunachalam,Badr,Senior Staff
10326,Masali,Czap,Staff
10327,Roded,Facello,Engineer
10328,Serenella,Kawashima,Engineer
10333,Snehasis,Dymetman,Engineer
10340,Djelloul,Laventhal,Senior Staff
10343,Dinah,Syrzycki,Senior Engineer
10347,Pradeep,Kaminger,Staff
10349,Oksana,Brodie,Senior Staff
10350,Kristen,Kavvadias,Assistant Engineer
10353,Phule,Hammerschmidt,Senior Staff
10355,Satyanarayana,Cochrane,Staff
10356,Vasilis,Standera,Senior Staff
10358,Qunsheng,Tagansky,Technique Leader
10363,Toshiki,Muniz,Assistant Engineer
10364,Nakhoon,Dengi,Senior Engineer
10367,Hyuckchul,Gini,Senior Staff
10372,Anneli,Frijda,Technique Leader
10374,Willard,Rosin,Staff
10377,Marl,Grospietsch,Senior Engineer
10382,Shirish,Dredge,Engineer
10387,Parto,Wrigley,Senior Staff
10388,Hironoby,Kaiser,Staff
10389,Make,Peir,Technique Leader
10395,Takahiro,Deverell,Engineer
10396,Sibyl,Rahier,Senior Engineer
10397,Irena,Reutenauer,Technique Leader
10402,Volkmar,Ebeling,Technique Leader
10404,Prodip,Rosti,Engineer
10407,Ulf,Siepmann,Senior Staff
10413,Danel,Impagliazzo,Senior Staff
10414,Yinlin,Alpin,Senior Engineer
10418,Candida,Porotnikoff,Staff
10422,Greger,Rubsam,Engineer
10426,Arunas,Luce,Technique Leader
10429,Martien,Improta,Senior Engineer
10432,Hisao,Tiemann,Senior Staff
10433,Reuven,Dengi,Assistant Engineer
10442,Volkmar,Unno,Senior Staff
10443,Shichao,Litvinov,Senior Engineer
10451,Bodh,Ranta,Assistant Engineer
10453,Tsvetan,Matzel,Senior Staff
10463,Ung,Zaiane,Staff
10466,Jiakeng,Himler,Staff
10477,Guoxiang,Trogemann,Engineer
10486,Amstein,Kossowski,Engineer
10494,Yakkov,Servieres,Engineer
10497,Pramod,Rabehasaina,Engineer
10499,Maik,Luft,Senior Staff
10503,Dannz,Pell,Engineer
10504,Xiong,Varker,Staff
10509,Abdelwaheb,Riesenhuber,Senior Staff
10512,Udi,Gihr,Senior Staff
10517,Tiina,Speek,Senior Staff
10519,Yonghoan,Alencar,Senior Staff
10522,Marke,Cesareni,Senior Staff
10529,Ymte,Yetto,Assistant Engineer
10531,Oguz,Gimbel,Staff
10538,Przemyslawa,Falby,Senior Engineer
10541,Godehard,Eiter,Staff
10542,Yannis,Couchot,Senior Engineer
10548,Ramalingam,Gunderson,Senior Staff
10552,Kazuhito,Shiratori,Senior Engineer
10564,Jianhao,Thisen,Engineer
10568,Gao,Poulakidas,Staff
10575,Theirry,Yeung,Senior Engineer
10586,Kirk,Vuskovic,Engineer
10591,Hidde,Hettesheimer,Staff
10593,Falguni,Kenevan,Engineer
10596,Sanjit,Coors,Senior Staff
10603,Wayne,Restivo,Staff
10608,Adhemar,Talmor,Senior Engineer
10610,Irena,Roccetti,Engineer
10614,Gila,Ozeri,Engineer
10615,Keung,Delgrande,Senior Staff
10617,Hidekazu,Angel,Senior Staff
10623,Aleksander,Danlos,Engineer
10624,Sham,Gyorkos,Technique Leader
10628,Krisda,Krogh,Assistant Engineer
10629,Lalit,Francisci,Staff
10630,Bezalel,Katzenelson,Engineer
10631,Inderjeet,Chaudhuri,Engineer
10634,Nahid,Chepyzhov,Assistant Engineer
10636,Saeko,Porotnikoff,Staff
10637,Heejo,Frolund,Senior Staff
10639,Pramod,Erol,Engineer
10641,Guozhong,Zucker,Assistant Engineer
10642,Hirochika,Narlikar,Engineer
10653,Otmar,Feinberg,Senior Engineer
10667,Makato,Cusworth,Senior Staff
10671,Parviz,Rebaine,Senior Staff
10672,Bluma,Zeilberger,Senior Engineer
10676,Valeri,Danley,Engineer
10683,Guiseppe,Stranks,Senior Engineer
10693,Berhard,Daescu,Senior Staff
10694,Rildo,Straney,Senior Staff
10696,Unal,Fendler,Technique Leader
10702,Bader,Szemeredi,Senior Engineer
10712,Uma,Koprowski,Engineer
10718,Adib,Rullman,Engineer
10726,Zita,Minakawa,Engineer
10731,Fumitaka,Peak,Senior Staff
